Sub_PillarID,Location_ID,Street_address,Descr,Zip_code
62,83083,"5625 Hickey Dr.,","Citrus Square",32822
62,83103,"1220 Spokane Ave","Colonialtown N Community Garden",32803
62,83126,"1400 Gaston Foster Road","Dover Shores Community Garden",32812
62,83146,"6050 Lake Underhill Dr","Englewood Park Community Garden",32807
62,83165,"2911East Robinson St","Festival Park Community Garden",32803
62,83182,"1411 Greenwood St","Lake Davis/Greenwood Community Garden",32801
62,83207,"899 Coy Drive","Lake Druid Park Community Garden",32803
62,83226,"406 E. Amelia Street","Lake Eola Heights Community Garden",32803
62,83246,"Mai Kai Condominium Garden","1935 Conway Rd",32812
62,83280,"654 West Robinson Street","Parramore Community Garden",32801
62,83296,"440 N Tampa Ave","Rock Lake Community Center",32805
62,83314,"4872 Rose Bay Dr","Rosemont Community Center",32808
62,83330,"644 W Princeton Street","United Methodist College Park Garden",32804
62,83347,"945 Wooden Blvd","Washington Shores Community Garden",32805
62,83367,"1002 Carter St",Jackson,32805
62,83384,"150 Mc Jordan Ave","Reeves Terrace",32801
62,83404,"1723 Bruton Blvd","Smith Center",32805
62,83421,"4917 Eli St","St. Paul Presbyterian Church of America",32804
62,83440,"1310 S. Denning Drive","Mead Community Garden",32789
62,83456,"721 West New England Ave","Winter Park Community Garden",32789
62,83474,"550 Morse Blvd","Our Whole Community Garden",32789
71,73114,"6123 La Costa Drive","Engelwood Neighborhood Center Drop-off",32807
71,73144,"2200 Lee Road","Lake Fairview Park Drop-off",32810
71,73158,"3955 WD Judge Road","Northwest Community Center Drop-off",32808
71,73174,"400 Festival Way","Orlando Skate Park Drop-off",32803
71,73188,"1028 South Woods Avenue","Solid Waste Management Division Drop-off",32805
71,73204,"1400 Gaston Foster Rd","Dover Shores Community Center Drop-off",32812
